codec,dataset,column,N,raw_bytes,compressed_bytes,ratio,encode_ms,decode_ms,encode_mbs,decode_mbs,max_error,query_mean_us,query_ds_us,query_gorilla_us,query_lz4_us,query_zstd_us,query_min_us,query_max_us,query_sum_us,query_count_us,query_var_us,query_where_us,query_value_at_us,query_scan_us
striq-e0.01,jena_climate_2009_2016,"Tdew (degC)",420551,3364408,1250378,2.6907,6.2157,0.0777,541.28,43318.56,0.010000,0.40,302.60,0.00,0.00,0.00,0.20,0.20,0.40,0.10,34.60,796.90,4.10,7.70
gorilla,jena_climate_2009_2016,"Tdew (degC)",420551,3364408,3323398,1.0123,40.5353,0.0000,83.00,inf,0.000000,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,jena_climate_2009_2016,"Tdew (degC)",420551,3364408,1526299,2.2043,5.4040,0.8627,622.58,3900.01,0.000000,0.00,0.00,0.00,897.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,jena_climate_2009_2016,"Tdew (degC)",420551,3364408,810724,4.1499,8.4290,2.9597,399.15,1136.75,0.000000,0.00,0.00,0.00,0.00,2980.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,jena_climate_2009_2016,"rh (%)",420551,3364408,1306366,2.5754,6.6487,0.0640,506.03,52568.88,0.010000,0.40,290.80,0.00,0.00,0.00,0.20,0.20,0.40,0.10,9.10,750.20,4.20,7.70
gorilla,jena_climate_2009_2016,"rh (%)",420551,3364408,2801108,1.2011,33.8597,13.3377,99.36,252.25,0.000000,0.00,0.00,13320.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,jena_climate_2009_2016,"rh (%)",420551,3364408,1514680,2.2212,5.5803,0.8680,602.90,3876.05,0.000000,0.00,0.00,0.00,888.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,jena_climate_2009_2016,"rh (%)",420551,3364408,900878,3.7346,9.2653,3.0357,363.12,1108.29,0.000000,0.00,0.00,0.00,0.00,3080.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,jena_climate_2009_2016,"VPmax (mbar)",420551,3364408,1216282,2.7661,5.6813,0.0603,592.19,55763.67,0.010000,0.30,317.40,0.00,0.00,0.00,0.30,0.20,0.40,0.10,8.60,741.10,4.20,7.60
gorilla,jena_climate_2009_2016,"VPmax (mbar)",420551,3364408,3205732,1.0495,39.0140,15.2327,86.24,220.87,0.000000,0.00,0.00,15220.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,jena_climate_2009_2016,"VPmax (mbar)",420551,3364408,1579723,2.1297,5.7463,0.8653,585.49,3887.99,0.000000,0.00,0.00,0.00,902.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,jena_climate_2009_2016,"VPmax (mbar)",420551,3364408,824658,4.0798,8.6090,2.9683,390.80,1133.43,0.000000,0.00,0.00,0.00,0.00,2979.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,jena_climate_2009_2016,"VPact (mbar)",420551,3364408,1119339,3.0057,5.3840,0.0623,624.89,53974.46,0.010000,0.40,329.10,0.00,0.00,0.00,0.20,0.30,0.30,0.10,8.90,792.50,5.10,9.80
gorilla,jena_climate_2009_2016,"VPact (mbar)",420551,3364408,3159318,1.0649,37.3370,14.9660,90.11,224.80,0.000000,0.00,0.00,15139.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,jena_climate_2009_2016,"VPact (mbar)",420551,3364408,1451946,2.3172,5.4940,0.8770,612.38,3836.27,0.000000,0.00,0.00,0.00,896.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,jena_climate_2009_2016,"VPact (mbar)",420551,3364408,732438,4.5934,7.7057,3.0180,436.61,1114.78,0.000000,0.00,0.00,0.00,0.00,3095.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,jena_climate_2009_2016,"VPdef (mbar)",420551,3364408,1205334,2.7913,6.3660,0.0637,528.50,52844.10,0.010000,0.40,319.60,0.00,0.00,0.00,0.20,0.20,0.40,0.10,9.50,765.90,4.20,7.60
gorilla,jena_climate_2009_2016,"VPdef (mbar)",420551,3364408,3146459,1.0693,38.5780,15.0757,87.21,223.17,0.000000,0.00,0.00,15057.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,jena_climate_2009_2016,"VPdef (mbar)",420551,3364408,1460031,2.3043,5.0207,0.8803,670.11,3821.74,0.000000,0.00,0.00,0.00,886.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,jena_climate_2009_2016,"VPdef (mbar)",420551,3364408,759628,4.4290,8.0490,3.0360,417.99,1108.17,0.000000,0.00,0.00,0.00,0.00,2989.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,jena_climate_2009_2016,"sh (g/kg)",420551,3364408,1016961,3.3083,5.7223,0.0607,587.94,55457.27,0.010000,0.40,350.80,0.00,0.00,0.00,0.20,0.20,0.40,0.20,9.80,786.10,4.70,8.20
gorilla,jena_climate_2009_2016,"sh (g/kg)",420551,3364408,3022035,1.1133,35.1910,14.5183,95.60,231.74,0.000000,0.00,0.00,23506.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,jena_climate_2009_2016,"sh (g/kg)",420551,3364408,1332396,2.5251,4.7457,0.9503,708.94,3540.24,0.000000,0.00,0.00,0.00,886.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,jena_climate_2009_2016,"sh (g/kg)",420551,3364408,652053,5.1597,7.0363,3.0267,478.15,1111.59,0.000000,0.00,0.00,0.00,0.00,3030.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,jena_climate_2009_2016,"H2OC (mmol/mol)",420551,3364408,1127532,2.9839,5.5037,0.0603,611.30,55763.67,0.010000,0.40,309.50,0.00,0.00,0.00,0.20,0.20,0.40,0.10,9.40,772.70,4.60,8.20
gorilla,jena_climate_2009_2016,"H2OC (mmol/mol)",420551,3364408,3162614,1.0638,37.5433,15.0960,89.61,222.87,0.000000,0.00,0.00,15045.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,jena_climate_2009_2016,"H2OC (mmol/mol)",420551,3364408,1454373,2.3133,5.4913,0.8600,612.68,3912.10,0.000000,0.00,0.00,0.00,897.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,jena_climate_2009_2016,"H2OC (mmol/mol)",420551,3364408,735400,4.5749,7.6713,3.0273,438.57,1111.34,0.000000,0.00,0.00,0.00,0.00,3044.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,jena_climate_2009_2016,"rho (g/m**3)",420551,3364408,1306372,2.5754,6.2313,0.0647,539.92,52026.93,0.010000,0.40,287.40,0.00,0.00,0.00,0.20,0.20,0.40,0.10,10.50,754.60,5.60,7.60
gorilla,jena_climate_2009_2016,"rho (g/m**3)",420551,3364408,2767673,1.2156,40.0500,13.0690,84.01,257.43,0.000000,0.00,0.00,13072.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,jena_climate_2009_2016,"rho (g/m**3)",420551,3364408,1577950,2.1321,4.9060,0.8720,685.77,3858.27,0.000000,0.00,0.00,0.00,904.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,jena_climate_2009_2016,"rho (g/m**3)",420551,3364408,1073520,3.1340,11.9960,2.9077,280.46,1157.08,0.000000,0.00,0.00,0.00,0.00,2958.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,jena_climate_2009_2016,"wv (m/s)",420551,3364408,1314558,2.5593,6.4550,0.0610,521.21,55154.23,0.010000,0.30,289.80,0.00,0.00,0.00,0.30,0.20,0.30,0.20,8.60,756.40,4.20,7.60
lz4,jena_climate_2009_2016,"wv (m/s)",420551,3364408,1508891,2.2297,4.9310,0.8793,682.30,3826.09,0.000000,0.00,0.00,0.00,904.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,jena_climate_2009_2016,"wv (m/s)",420551,3364408,769164,4.3741,7.9467,2.9527,423.37,1139.45,0.000000,0.00,0.00,0.00,0.00,2985.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,jena_climate_2009_2016,"max. wv (m/s)",420551,3364408,1314563,2.5593,6.2480,0.0647,538.48,52026.93,0.010000,0.30,288.60,0.00,0.00,0.00,0.20,0.20,0.40,0.10,8.60,758.10,5.00,9.50
gorilla,jena_climate_2009_2016,"max. wv (m/s)",420551,3364408,3330710,1.0101,42.0007,12.9523,80.10,259.75,0.000000,0.00,0.00,12954.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,jena_climate_2009_2016,"max. wv (m/s)",420551,3364408,1454939,2.3124,5.2293,0.9583,643.37,3510.69,0.000000,0.00,0.00,0.00,889.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,jena_climate_2009_2016,"max. wv (m/s)",420551,3364408,720092,4.6722,7.3847,3.2030,455.59,1050.39,0.000000,0.00,0.00,0.00,0.00,3079.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,jena_climate_2009_2016,"wd (deg)",420551,3364408,2139074,1.5728,6.8427,0.0643,491.68,52296.50,0.010000,0.30,335.30,0.00,0.00,0.00,0.30,0.20,0.30,0.10,13.50,846.40,4.60,8.10
lz4,jena_climate_2009_2016,"wd (deg)",420551,3364408,1695514,1.9843,5.3360,0.8797,630.51,3824.64,0.000000,0.00,0.00,0.00,906.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,jena_climate_2009_2016,"wd (deg)",420551,3364408,1085776,3.0986,11.6097,3.1837,289.79,1056.77,0.000000,0.00,0.00,0.00,0.00,3129.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,synthetic,slow_sine,50000,400000,173774,2.3018,3.1863,0.1090,125.54,3669.72,0.010000,0.10,26.70,0.00,0.00,0.00,0.10,0.00,0.00,0.10,4.20,76.00,1.10,7.90
gorilla,synthetic,slow_sine,50000,400000,343445,1.1647,8.1167,1.6030,49.28,249.53,0.000000,0.00,0.00,1645.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,synthetic,slow_sine,50000,400000,183724,2.1772,0.6510,0.0903,614.44,4428.04,0.000000,0.00,0.00,0.00,89.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,synthetic,slow_sine,50000,400000,46003,8.6951,0.6187,0.2563,646.55,1560.47,0.000000,0.00,0.00,0.00,0.00,281.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,synthetic,ramp,50000,400000,55095,7.2602,0.8297,0.0553,482.12,7228.92,0.010000,0.10,9.90,0.00,0.00,0.00,0.10,0.00,0.10,0.00,0.60,0.40,1.00,7.60
gorilla,synthetic,ramp,50000,400000,335829,1.1911,5.6150,1.5940,71.24,250.94,0.000000,0.00,0.00,1617.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,synthetic,ramp,50000,400000,208942,1.9144,0.5270,0.1020,759.01,3921.57,0.000000,0.00,0.00,0.00,100.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,synthetic,ramp,50000,400000,67860,5.8945,0.7807,0.3720,512.38,1075.27,0.000000,0.00,0.00,0.00,0.00,390.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,synthetic,noise,50000,400000,155642,2.5700,0.8497,0.0677,470.77,5911.33,0.010000,0.10,17.50,0.00,0.00,0.00,0.10,0.00,0.10,0.00,1.10,71.50,1.70,8.80
lz4,synthetic,noise,50000,400000,401570,0.9961,0.0173,0.0067,23076.92,60000.00,0.000000,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,synthetic,noise,50000,400000,375993,1.0638,0.3997,0.3367,1000.83,1188.12,0.000000,0.00,0.00,0.00,0.00,357.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,noaa_gsod,STATION,10328,82624,11670,7.0800,0.6393,0.0530,129.23,1558.94,0.010000,0.10,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.10,51.40,13.80,2.20,5.80
gorilla,noaa_gsod,STATION,10328,82624,1447,57.1002,0.0093,0.0097,8852.57,8547.31,0.000000,0.00,0.00,6.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,noaa_gsod,STATION,10328,82624,455,181.5912,0.0047,0.0053,17705.14,15492.00,0.000000,0.00,0.00,0.00,5.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,noaa_gsod,STATION,10328,82624,136,607.5294,0.0183,0.0240,4506.76,3442.67,0.000000,0.00,0.00,0.00,0.00,5.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,noaa_gsod,TEMP,10328,82624,32261,2.5611,0.4080,0.0553,202.51,1493.20,0.010000,0.00,8.10,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,19.50,3.90,7.00
gorilla,noaa_gsod,TEMP,10328,82624,79156,1.0438,0.8270,0.1567,99.91,527.39,0.000000,0.00,0.00,155.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,noaa_gsod,TEMP,10328,82624,36435,2.2677,0.1233,0.0210,669.92,3934.48,0.000000,0.00,0.00,0.00,20.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,noaa_gsod,TEMP,10328,82624,22115,3.7361,0.2890,0.0880,285.90,938.91,0.000000,0.00,0.00,0.00,0.00,82.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,noaa_gsod,DEWP,10328,82624,32261,2.5611,0.4347,0.0497,190.09,1663.57,0.010000,0.00,8.10,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.10,19.10,3.80,6.90
lz4,noaa_gsod,DEWP,10328,82624,36327,2.2745,0.1217,0.0210,679.10,3934.48,0.000000,0.00,0.00,0.00,23.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,noaa_gsod,DEWP,10328,82624,22086,3.7410,0.2390,0.0930,345.71,888.43,0.000000,0.00,0.00,0.00,0.00,88.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,noaa_gsod,SLP,10328,82624,32260,2.5612,0.4047,0.1333,204.18,619.68,0.010000,0.00,8.80,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.10,20.60,4.20,7.60
gorilla,noaa_gsod,SLP,10328,82624,70244,1.1762,0.7567,0.3193,109.19,258.74,0.000000,0.00,0.00,350.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,noaa_gsod,SLP,10328,82624,32453,2.5460,0.1047,0.0250,789.40,3304.96,0.000000,0.00,0.00,0.00,22.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,noaa_gsod,SLP,10328,82624,20824,3.9677,0.2250,0.1503,367.22,549.61,0.000000,0.00,0.00,0.00,0.00,127.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,noaa_gsod,VISIB,10328,82624,21937,3.7664,0.6720,0.0670,122.95,1233.19,0.010000,0.10,10.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,20.50,4.70,8.20
gorilla,noaa_gsod,VISIB,10328,82624,47205,1.7503,0.4983,0.2480,165.80,333.16,0.000000,0.00,0.00,232.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,noaa_gsod,VISIB,10328,82624,20772,3.9777,0.0697,0.0190,1185.99,4348.63,0.000000,0.00,0.00,0.00,16.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,noaa_gsod,VISIB,10328,82624,9895,8.3501,0.1290,0.0660,640.50,1251.88,0.000000,0.00,0.00,0.00,0.00,54.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,noaa_gsod,WDSP,10328,82624,32261,2.5611,0.5403,0.0530,152.91,1558.94,0.010000,0.10,8.90,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,20.00,3.90,6.90
gorilla,noaa_gsod,WDSP,10328,82624,71069,1.1626,0.7320,0.3233,112.87,255.54,0.000000,0.00,0.00,334.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,noaa_gsod,WDSP,10328,82624,31451,2.6271,0.0883,0.0210,935.37,3934.48,0.000000,0.00,0.00,0.00,20.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,noaa_gsod,WDSP,10328,82624,17081,4.8372,0.1683,0.0830,490.84,995.47,0.000000,0.00,0.00,0.00,0.00,103.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,noaa_gsod,MXSPD,10328,82624,30287,2.7280,0.6110,0.0487,135.23,1697.75,0.010000,0.00,23.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,68.80,30.80,9.20,11.90
gorilla,noaa_gsod,MXSPD,10328,82624,64010,1.2908,0.6527,0.2977,126.59,277.57,0.000000,0.00,0.00,330.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,noaa_gsod,MXSPD,10328,82624,27670,2.9860,0.0870,0.0207,949.70,3997.94,0.000000,0.00,0.00,0.00,20.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,noaa_gsod,MXSPD,10328,82624,13616,6.0682,0.1647,0.0857,501.77,964.48,0.000000,0.00,0.00,0.00,0.00,82.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,noaa_gsod,MAX,10328,82624,32260,2.5612,0.4963,0.0527,166.47,1568.81,0.010000,0.10,8.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.60,3.80,7.00
gorilla,noaa_gsod,MAX,10328,82624,52060,1.5871,0.5433,0.2470,152.07,334.51,0.000000,0.00,0.00,259.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,noaa_gsod,MAX,10328,82624,28437,2.9055,0.1280,0.0510,645.50,1620.08,0.000000,0.00,0.00,0.00,21.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,noaa_gsod,MAX,10328,82624,16137,5.1202,0.1687,0.0857,489.87,964.48,0.000000,0.00,0.00,0.00,0.00,85.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,noaa_gsod,MIN,10328,82624,32260,2.5612,0.4127,0.0540,200.22,1530.07,0.010000,0.00,8.10,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.10,18.90,3.80,7.00
gorilla,noaa_gsod,MIN,10328,82624,60676,1.3617,0.5943,0.0190,139.02,4348.63,0.000000,0.00,0.00,18.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,noaa_gsod,MIN,10328,82624,28782,2.8707,0.0867,0.0200,953.35,4131.20,0.000000,0.00,0.00,0.00,19.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,noaa_gsod,MIN,10328,82624,15940,5.1834,0.1563,0.0817,528.51,1011.72,0.000000,0.00,0.00,0.00,0.00,75.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,noaa_gsod,PRCP,10328,82624,32261,2.5611,0.4050,0.0507,204.01,1630.74,0.010000,0.00,10.20,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.10,36.20,4.20,16.90
gorilla,noaa_gsod,PRCP,10328,82624,33639,2.4562,0.4860,0.1787,170.01,462.45,0.000000,0.00,0.00,164.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,noaa_gsod,PRCP,10328,82624,14900,5.5452,0.0603,0.0203,1369.46,4063.48,0.000000,0.00,0.00,0.00,15.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,noaa_gsod,PRCP,10328,82624,7617,10.8473,0.1053,0.0497,784.41,1663.57,0.000000,0.00,0.00,0.00,0.00,38.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,household_power_consumption,Global_active_power,500000,4000000,1553260,2.5752,6.8907,0.0783,580.50,51063.83,0.010000,0.50,341.00,0.00,0.00,0.00,0.30,0.30,0.40,0.10,12.00,885.40,3.10,11.60
gorilla,household_power_consumption,Global_active_power,500000,4000000,3194313,1.2522,67.5070,15.7523,59.25,253.93,0.000000,0.00,0.00,15414.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,household_power_consumption,Global_active_power,500000,4000000,1459266,2.7411,5.5643,1.0380,718.86,3853.56,0.000000,0.00,0.00,0.00,1047.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,household_power_consumption,Global_active_power,500000,4000000,785907,5.0897,9.0943,3.4770,439.83,1150.42,0.000000,0.00,0.00,0.00,0.00,3504.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,household_power_consumption,Global_reactive_power,500000,4000000,1553262,2.5752,6.3710,0.0667,627.84,60000.00,0.010000,0.50,341.90,0.00,0.00,0.00,0.20,0.30,0.40,0.20,12.70,1153.40,3.00,11.20
gorilla,household_power_consumption,Global_reactive_power,500000,4000000,2354620,1.6988,48.1690,11.6560,83.04,343.17,0.000000,0.00,0.00,11655.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,household_power_consumption,Global_reactive_power,500000,4000000,1078407,3.7092,3.8930,0.9980,1027.49,4008.02,0.000000,0.00,0.00,0.00,1017.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,household_power_consumption,Global_reactive_power,500000,4000000,520164,7.6899,6.2110,3.0127,644.02,1327.73,0.000000,0.00,0.00,0.00,0.00,3008.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,household_power_consumption,Voltage,500000,4000000,1553248,2.5752,6.3733,0.0630,627.62,63492.06,0.010000,0.40,341.90,0.00,0.00,0.00,0.30,0.20,0.40,0.10,9.10,896.10,2.90,11.10
gorilla,household_power_consumption,Voltage,500000,4000000,3194328,1.2522,46.0207,15.0927,86.92,265.03,0.000000,0.00,0.00,15054.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,household_power_consumption,Voltage,500000,4000000,1790905,2.2335,6.3307,1.0517,631.84,3803.49,0.000000,0.00,0.00,0.00,1057.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,household_power_consumption,Voltage,500000,4000000,1039032,3.8497,10.7540,3.4400,371.95,1162.79,0.000000,0.00,0.00,0.00,0.00,3445.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,household_power_consumption,Global_intensity,500000,4000000,1417835,2.8212,6.3017,0.0610,634.75,65573.77,0.010000,0.40,361.90,0.00,0.00,0.00,0.30,0.20,0.40,0.20,8.70,909.30,3.40,12.20
gorilla,household_power_consumption,Global_intensity,500000,4000000,1516207,2.6382,14.6207,7.7400,273.59,516.80,0.000000,0.00,0.00,7712.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,household_power_consumption,Global_intensity,500000,4000000,756414,5.2881,2.7610,1.0147,1448.75,3942.18,0.000000,0.00,0.00,0.00,1050.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,household_power_consumption,Global_intensity,500000,4000000,377626,10.5925,5.0563,2.7227,791.09,1469.15,0.000000,0.00,0.00,0.00,0.00,2610.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,household_power_consumption,Sub_metering_1,500000,4000000,623955,6.4107,5.1163,0.0647,781.81,61855.67,0.010000,0.40,221.80,0.00,0.00,0.00,0.30,0.20,0.50,0.10,2862.60,870.80,1.80,9.20
gorilla,household_power_consumption,Sub_metering_1,500000,4000000,116232,34.4139,1.1470,0.7523,3487.36,5316.79,0.000000,0.00,0.00,605.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,household_power_consumption,Sub_metering_1,500000,4000000,83684,47.7989,0.4827,0.4207,8287.29,9508.72,0.000000,0.00,0.00,0.00,282.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,household_power_consumption,Sub_metering_1,500000,4000000,38871,102.9045,1.0590,1.4507,3777.15,2757.35,0.000000,0.00,0.00,0.00,0.00,1269.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,household_power_consumption,Sub_metering_2,500000,4000000,829660,4.8213,6.5800,0.0650,607.90,61538.46,0.010000,0.40,535.00,0.00,0.00,0.00,0.30,0.20,0.40,0.20,2999.60,1182.30,1.30,9.40
gorilla,household_power_consumption,Sub_metering_2,500000,4000000,246396,16.2340,2.4417,1.4213,1638.23,2814.26,0.000000,0.00,0.00,1417.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,household_power_consumption,Sub_metering_2,500000,4000000,228951,17.4710,1.1820,0.5627,3384.09,7109.00,0.000000,0.00,0.00,0.00,455.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,household_power_consumption,Sub_metering_2,500000,4000000,114950,34.7977,2.3803,1.3150,1680.44,3041.83,0.000000,0.00,0.00,0.00,0.00,1427.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,household_power_consumption,Sub_metering_3,500000,4000000,741392,5.3953,6.1517,0.0710,650.23,56338.03,0.010000,0.50,501.90,0.00,0.00,0.00,0.30,0.20,0.40,0.20,3045.90,1087.60,2.90,10.40
gorilla,household_power_consumption,Sub_metering_3,500000,4000000,240187,16.6537,1.9210,1.2863,2082.25,3109.61,0.000000,0.00,0.00,1360.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lz4,household_power_consumption,Sub_metering_3,500000,4000000,191071,20.9346,0.8390,0.4427,4767.58,9036.14,0.000000,0.00,0.00,0.00,449.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
zstd-3,household_power_consumption,Sub_metering_3,500000,4000000,60336,66.2954,2.0163,1.1340,1983.80,3527.34,0.000000,0.00,0.00,0.00,0.00,1174.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
striq-e0.01,metro_traffic,temp,48204,385632,158049,2.4400,1.0380,0.0537,371.51,7185.69,0.010000,0.10,35.20,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.90,84.30,7.50,7.50
gorilla,metro_traffic,temp,48204,385632,267950,1.4392,4.1093,1.2760,93.84,302.22,0.000000,0.00,0.00,1283.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
